Category,Test Item,Result (Pass/Fail),Notes
General UI/UX,Header ada icon + title betul (contoh: PDF ? Word),,
General UI/UX,"Subtitle jelas, explain apa tool buat",,
General UI/UX,Upload box style sama macam Edit tools,,
General UI/UX,Button utama pakai label jelas (“Convert Now”),,
General UI/UX,Progress bar/status keluar masa processing,,
General UI/UX,Output auto download dengan nama fail betul (contoh: converted.docx),,
General UI/UX,Error message keluar kalau upload file salah format,,
PDF ? Word,Upload 1 PDF ? keluar dalam file list,,
PDF ? Word,Klik Convert Now ? auto download .docx,,
PDF ? Word,Fail asal nama report.pdf ? output report.docx,,
PDF ? Word,Cuba upload file bukan PDF ? error keluar,,
PDF ? Excel,Upload PDF ? proses ? auto download .xlsx,,
PDF ? Excel,Confirm nama output ikut nama asal (contoh table.pdf ? table.xlsx),,
PDF ? Excel,Cuba fail bukan PDF ? error keluar,,
PDF ? PowerPoint,Upload PDF ? proses ? auto download .pptx,,
PDF ? PowerPoint,UI ada subtitle “Convert PDF slides into PowerPoint”,,
PDF ? PowerPoint,Cuba upload fail selain PDF ? error keluar,,
PDF ? Image,Dropdown pilihan format ada (PNG/JPG),,
PDF ? Image,Upload PDF ? auto download converted.png / converted.jpeg,,
PDF ? Image,Tukar format ? confirm extension ikut format,,
PDF ? Image,Upload file bukan PDF ? error keluar,,
Image ? PDF,Boleh upload banyak image sekali gus,,
Image ? PDF,File list keluar,,
Image ? PDF,Klik Convert Now ? auto download converted.pdf,,
Image ? PDF,Cuba upload fail selain image ? error keluar,,
Word ? PDF,Upload .docx / .doc ? auto download .pdf,,
Word ? PDF,Output nama ikut fail asal (document.docx ? document.pdf),,
Word ? PDF,Cuba upload fail lain (contoh PDF) ? error keluar,,
Extra QA,Test semua convert tools dalam /convert-demo ? confirm UI seragam,,
Extra QA,"Semua button align sama (besar, center)",,
Extra QA,Semua progress flow rasa sama ? tak ada tool yang tiba² lain style,,
Extra QA,"Dark mode check ? text boleh baca, button color balance",,
Extra QA,Clear file & upload baru jalan normal,,
